Athlete,Event,Mark,Date
Eli Aaronson,60 Hurdles,DNF,"Dec  2- 3, 2022"
Eli Aaronson,110 Hurdles,19.43,"Apr 15, 2022"
Eli Aaronson,110 Hurdles,19.25,"Apr  9, 2022"
Eli Aaronson,High Jump,1.86m,"Feb 17, 2023"
Eli Aaronson,High Jump,1.86m,"Feb 11, 2023"
Eli Aaronson,High Jump,1.79m,"Feb  3- 4, 2023"
Eli Aaronson,High Jump,1.87m,"Jan 28, 2023"
Eli Aaronson,High Jump,1.85m,"Jan 21, 2023"
Eli Aaronson,High Jump,NH,"Jan 21, 2023"
Eli Aaronson,High Jump,1.80m,"Jan 14, 2023"
Eli Aaronson,High Jump,1.85m,"Dec  2- 3, 2022"
Eli Aaronson,High Jump,1.79m,"Feb 18, 2022"
Eli Aaronson,High Jump,1.83m,"Jan 22, 2022"
Eli Aaronson,High Jump,1.80m,"Jan 15, 2022"
Eli Aaronson,High Jump,1.85m,"Dec  3- 4, 2021"
Eli Aaronson,High Jump,1.80m,"Feb 27, 2021"
Eli Aaronson,High Jump,1.85m,"Feb 21, 2021"
Thomas Arnold,800 Meters,2:01.08,"Apr  7- 8, 2023"
Thomas Arnold,800 Meters,2:03.90,"Mar 24-25, 2023"
Thomas Arnold,1000 Meters,2:37.08,"Feb  3- 4, 2023"
Thomas Arnold,1500 Meters,4:02.80,"Apr 14-16, 2023"
Thomas Arnold,1500 Meters,4:06.78,"Apr  7- 8, 2023"
Thomas Arnold,1500 Meters,4:10.39,"Mar 24-25, 2023"
Thomas Arnold,Mile,4:25.38,"Feb 17, 2023"
Thomas Arnold,Mile,4:25.90,"Feb 11, 2023"
Thomas Arnold,Mile,4:27.20,"Jan 21, 2023"
Thomas Arnold,3000 Meters,8:48.87,"Apr 14-16, 2023"
Thomas Arnold,4 x 800 Relay,8:04.23,"Jan 28, 2023"
Thomas Arnold,4 x 800 Relay,8:19.65,"Dec  2- 3, 2022"
Thomas Arnold,6k,20:22.5,"Oct 21, 2022"
Thomas Arnold,6k,20:24.1,"Sep  2, 2022"
Thomas Arnold,8k,27:40.9,"Oct 14, 2022"
Thomas Arnold,8k,27:13.2,"Sep 30, 2022"
Thomas Arnold,4.97 Mile,27:42.4,"Sep 16, 2022"
Kerem Ayhan,200 Meters,23.62,"Jan 11, 2020"
Kerem Ayhan,400 Meters,50.76,"Feb  3- 4, 2023"
Kerem Ayhan,400 Meters,52.67,"Feb 29-Mar  1, 2020"
Kerem Ayhan,400 Meters,51.41,"Feb 21, 2020"
Kerem Ayhan,400 Meters,52.40,"Feb 14-15, 2020"
Kerem Ayhan,400 Meters,51.98,"Jan 25, 2020"
Kerem Ayhan,400 Meters,52.26,"Jan 11, 2020"
Kerem Ayhan,500 Meters,1:06.52,"Feb  7, 2020"
Kerem Ayhan,800 Meters,1:52.16,"Mar  3- 5, 2023"
Kerem Ayhan,800 Meters,1:50.18,"Mar  3- 5, 2023"
Kerem Ayhan,800 Meters,1:52.37,"Feb 25-26, 2023"
Kerem Ayhan,800 Meters,1:53.02,"Feb 25-26, 2023"
Kerem Ayhan,800 Meters,1:52.67,"Feb 11, 2023"
Kerem Ayhan,800 Meters,1:53.19,"Feb  3- 4, 2023"
Kerem Ayhan,800 Meters,1:53.50,"Jan 28, 2023"
Kerem Ayhan,800 Meters,1:56.25,"Feb 18, 2022"
Kerem Ayhan,800 Meters,1:56.04,"Feb 11-12, 2022"
Kerem Ayhan,800 Meters,DNS,"Dec  3- 4, 2021"
Kerem Ayhan,1000 Meters,2:24.41,"Jan 21, 2023"
Kerem Ayhan,4 x 400 Relay,3:18.62,"Feb 11, 2023"
Kerem Ayhan,4 x 400 Relay,3:23.97,"Jan 28, 2023"
Kerem Ayhan,4 x 400 Relay,3:24.01,"Jan 21, 2023"
Kerem Ayhan,4 x 400 Relay,DNS,"Jan 14, 2023"
Kerem Ayhan,4 x 400 Relay,3:25.32,"Feb 18, 2022"
Kerem Ayhan,4 x 400 Relay,3:27.11,"Feb 11-12, 2022"
Kerem Ayhan,4 x 400 Relay,3:25.91,"Feb 29-Mar  1, 2020"
Kerem Ayhan,4 x 400 Relay,3:36.44,"Feb 14-15, 2020"
Kerem Ayhan,4 x 400 Relay,3:25.68,"Feb  7, 2020"
Kerem Ayhan,4 x 400 Relay,3:25.70,"Jan 18, 2020"
Kerem Ayhan,4 x 400 Relay,3:29.27,"Jan 11, 2020"
Kerem Ayhan,4 x 800 Relay,8:21.10,"Dec  2- 3, 2022"
Kerem Ayhan,4 x 800 Relay,7:37.69,"Feb 26-27, 2022"
Kerem Ayhan,Distance Medley Relay,10:12.75,"Feb 25-26, 2023"
Kerem Ayhan,Distance Medley Relay,9:59.17,"Feb 26-27, 2022"
Kerem Ayhan,4k,12:50.4,"Oct 21, 2022"
Kerem Ayhan,6k,20:08.3,"Sep  2, 2022"
Kerem Ayhan,8k,26:50.6,"Sep 30, 2022"
Adam Barbato,800 Meters,2:02.85,"Mar 24-25, 2023"
Adam Barbato,1500 Meters,4:06.90,"Mar 24-25, 2023"
Adam Barbato,Mile,4:26.75,"Feb 17, 2023"
Adam Barbato,Mile,4:29.92,"Jan 14, 2023"
Adam Barbato,3000 Meters,8:38.65,"Feb 11, 2023"
Adam Barbato,3000 Meters,8:44.87,"Jan 28, 2023"
Adam Barbato,3000 Meters,8:42.40,"Jan 21, 2023"
Adam Barbato,5000 Meters,15:01.56,"Feb  3- 4, 2023"
Adam Barbato,3000 Steeplechase,9:28.19,"Apr  7- 8, 2023"
Adam Barbato,4 x 400 Relay,3:30.51,"Mar 24-25, 2023"
Adam Barbato,4 x 800 Relay,8:19.65,"Dec  2- 3, 2022"
Adam Barbato,6k,19:09.1,"Sep  2, 2022"
Adam Barbato,8.05k,26:46.2,"Oct 29, 2022"
Adam Barbato,10k,33:14.9,"Nov 11, 2022"
Adam Barbato,5.2 Mile,28:17.3,"Oct 14, 2022"
Carter Bartz,Pole Vault,4.60m,"Mar  3- 5, 2023"
Carter Bartz,Pole Vault,4.70m,"Feb 25-26, 2023"
Carter Bartz,Pole Vault,4.75m,"Feb 17, 2023"
Carter Bartz,Pole Vault,4.45m,"Feb 11, 2023"
Carter Bartz,Pole Vault,4.65m,"Feb  3- 4, 2023"
Carter Bartz,Pole Vault,4.68m,"Jan 28, 2023"
Carter Bartz,Pole Vault,4.45m,"Jan 21, 2023"
Carter Bartz,Pole Vault,4.56m,"Jan 14, 2023"
Carter Bartz,Pole Vault,4.55m,"Dec  2- 3, 2022"
Jonathan Bennett,60 Meters,6.94,"Feb 26-27, 2022"
Jonathan Bennett,60 Meters,6.95,"Feb 26-27, 2022"
Jonathan Bennett,60 Meters,7.03,"Feb 11-12, 2022"
Jonathan Bennett,60 Meters,7.06,"Feb 11-12, 2022"
Jonathan Bennett,60 Meters,7.10,"Feb 11-12, 2022"
Jonathan Bennett,60 Meters,6.95,"Jan 29, 2022"
Jonathan Bennett,60 Meters,7.16,"Jan 15, 2022"
Jonathan Bennett,100 Meters,11.44,"Apr  9, 2022"
Jonathan Bennett,100 Meters,10.78,"Mar 19, 2022"
Jonathan Bennett,200 Meters,23.08,"Feb 18, 2022"
Jonathan Bennett,200 Meters,22.49,"Feb  4- 5, 2022"
Jonathan Bennett,200 Meters,22.84,"Jan 29, 2022"
Jonathan Bennett,200 Meters,22.32,"Jan 22, 2022"
Jonathan Bennett,200 Meters,DNS,"Dec  3- 4, 2021"
Jonathan Bennett,60 Hurdles,8.07,"Feb 26-27, 2022"
Jonathan Bennett,60 Hurdles,8.16,"Feb 26-27, 2022"
Jonathan Bennett,60 Hurdles,8.17,"Feb 18, 2022"
Jonathan Bennett,60 Hurdles,8.37,"Feb 18, 2022"
Jonathan Bennett,60 Hurdles,8.12,"Feb 11-12, 2022"
Jonathan Bennett,60 Hurdles,8.24,"Feb 11-12, 2022"
Jonathan Bennett,60 Hurdles,8.25,"Feb  4- 5, 2022"
Jonathan Bennett,60 Hurdles,8.18,"Jan 29, 2022"
Jonathan Bennett,60 Hurdles,8.24,"Jan 22, 2022"
Jonathan Bennett,60 Hurdles,8.25,"Jan 22, 2022"
Jonathan Bennett,60 Hurdles,8.30,"Jan 15, 2022"
Jonathan Bennett,60 Hurdles,8.29,"Dec  3- 4, 2021"
Jonathan Bennett,60 Hurdles,8.30,"Dec  3- 4, 2021"
Jonathan Bennett,110 Hurdles,14.70,"Apr  9, 2022"
Jonathan Bennett,110 Hurdles,14.39,"Apr  2, 2022"
Jonathan Bennett,110 Hurdles,14.46,"Mar 26, 2022"
Jonathan Bennett,110 Hurdles,14.55,"Mar 19, 2022"
Jonathan Bennett,4 x 100 Relay,43.27,"Apr  9, 2022"
Jonathan Bennett,4 x 100 Relay,44.34,"Apr  2, 2022"
Jonathan Bennett,4 x 100 Relay,43.58,"Mar 26, 2022"
Jalen Blango,Long Jump,6.17m,"Feb 25-26, 2023"
Jalen Blango,Long Jump,6.52m,"Feb 17, 2023"
Jalen Blango,Long Jump,6.13m,"Feb 11, 2023"
Jalen Blango,Long Jump,6.18m,"Feb  3- 4, 2023"
Jalen Blango,Long Jump,NM,"Jan 21, 2023"
Jalen Blango,Long Jump,5.84m,"Jan 14, 2023"
Jalen Blango,Long Jump,6.10m,"Dec  2- 3, 2022"
Jalen Blango,Long Jump,6.31m,"Feb 18, 2022"
Jalen Blango,Long Jump,6.11m,"Feb 11-12, 2022"
Jalen Blango,Long Jump,5.88m,"Jan 22, 2022"
Jalen Blango,Long Jump,6.18m,"Jan 15, 2022"
Jalen Blango,Long Jump,5.75m,"Dec  3- 4, 2021"
Jalen Blango,Triple Jump,11.89m,"Feb 25-26, 2023"
Jalen Blango,Triple Jump,12.33m,"Feb 17, 2023"
Jalen Blango,Triple Jump,12.38m,"Feb 11, 2023"
Jalen Blango,Triple Jump,NM,"Jan 21, 2023"
Jalen Blango,Triple Jump,NM,"Jan 14, 2023"
Jalen Blango,Triple Jump,11.90m,"Dec  2- 3, 2022"
Jalen Blango,Triple Jump,NM,"Jan 22, 2022"
Jalen Blango,Triple Jump,12.23m,"Jan 15, 2022"
Jalen Blango,Triple Jump,11.78m,"Dec  3- 4, 2021"
Henry Burd,800 Meters,2:01.25,"Jan 21, 2023"
Henry Burd,1500 Meters,DNS,"Apr  7- 8, 2023"
Henry Burd,1500 Meters,4:07.81,"Mar 24-25, 2023"
Henry Burd,Mile,4:28.61,"Feb 17, 2023"
Henry Burd,Mile,4:28.97,"Jan 14, 2023"
Henry Burd,3000 Meters,8:50.61,"Feb 11, 2023"
Henry Burd,3000 Meters,8:46.37,"Feb  3- 4, 2023"
Henry Burd,3000 Steeplechase,9:55.42,"Apr  1, 2023"
Henry Burd,4 x 400 Relay,3:29.09,"Apr  7- 8, 2023"
Henry Burd,4 x 400 Relay,3:30.51,"Mar 24-25, 2023"
Henry Burd,4 x 800 Relay,8:04.23,"Jan 28, 2023"
Henry Burd,4 x 800 Relay,8:03.24,"Dec  2- 3, 2022"
Henry Burd,Distance Medley Relay,10:52.52,"Jan 21, 2023"
Henry Burd,6k,20:25.5,"Oct 21, 2022"
Jack Bush,100 Meters,11.91,"Apr  7- 8, 2023"
Jack Bush,100 Meters,11.59,"Apr  1, 2023"
Jack Bush,100 Meters,11.56,"Mar 24-25, 2023"
Jack Bush,200 Meters,23.49,"Feb 17, 2023"
Jack Bush,200 Meters,23.58,"Feb 11, 2023"
Jack Bush,200 Meters,23.94,"Jan 21, 2023"
Jack Bush,400 Meters,52.78,"Feb 17, 2023"
Jack Bush,400 Meters,53.26,"Feb 11, 2023"
Jack Bush,400 Meters,53.54,"Jan 28, 2023"
Jack Bush,400 Meters,54.70,"Jan 21, 2023"
Jack Bush,4 x 400 Relay,3:31.09,"Apr 14-16, 2023"
Jack Bush,4 x 400 Relay,3:25.13,"Apr  1, 2023"
Jack Bush,Long Jump,NM,"Jan 21, 2023"
Liam Campiglia,60 Meters,7.87,"Jan 21, 2023"
Liam Campiglia,60 Meters,7.96,"Jan 14, 2023"
Liam Campiglia,200 Meters,25.97,"Jan 21, 2023"
Liam Campiglia,Shot Put,9.47m,"Dec  3- 4, 2021"
Liam Campiglia,Discus,28.36m,"Apr 29-30, 2022"
Liam Campiglia,Javelin,45.60m,"May  6- 7, 2022"
Liam Campiglia,Javelin,51.07m,"Apr 29-30, 2022"
Liam Campiglia,Javelin,49.37m,"Apr 23, 2022"
Liam Campiglia,Javelin,49.01m,"Apr 15, 2022"
Liam Campiglia,Javelin,44.62m,"Apr  9, 2022"
Liam Campiglia,Javelin,47.12m,"Apr  2, 2022"
Liam Campiglia,Javelin,44.82m,"Mar 26, 2022"
Alex Clevenger,Shot Put,15.60m,"Mar  3- 5, 2023"
Alex Clevenger,Shot Put,15.89m,"Feb 25-26, 2023"
Alex Clevenger,Shot Put,16.19m,"Feb 11, 2023"
Alex Clevenger,Shot Put,15.19m,"Feb  3- 4, 2023"
Alex Clevenger,Shot Put,16.16m,"Jan 28, 2023"
Alex Clevenger,Shot Put,14.62m,"Jan 21, 2023"
Alex Clevenger,Shot Put,15.11m,"Jan 14, 2023"
Alex Clevenger,Shot Put,14.72m,"Dec  2- 3, 2022"
Alex Clevenger,Shot Put,15.31m,"Feb 26-27, 2022"
Alex Clevenger,Shot Put,13.19m,"Feb 18, 2022"
Alex Clevenger,Shot Put,14.10m,"Feb 11-12, 2022"
Alex Clevenger,Shot Put,13.62m,"Feb  4- 5, 2022"
Alex Clevenger,Shot Put,12.97m,"Dec  3- 4, 2021"
Alex Clevenger,Discus,41.59m,"Apr 14-16, 2023"
Alex Clevenger,Discus,42.27m,"Apr  7- 8, 2023"
Alex Clevenger,Discus,35.83m,"May  6- 7, 2022"
Alex Clevenger,Discus,36.94m,"Apr 29-30, 2022"
Alex Clevenger,Discus,40.13m,"Apr 23, 2022"
Alex Clevenger,Discus,37.07m,"Apr 15, 2022"
Quinn Conlan,Shot Put,11.35m,"Feb 21, 2021"
Quinn Conlan,Discus,38.00m,"Apr  7- 8, 2023"
Quinn Conlan,Discus,35.62m,"Mar 24-25, 2023"
Quinn Conlan,Discus,38.51m,"Apr 29-30, 2022"
Quinn Conlan,Discus,FOUL,"Apr 23, 2022"
Quinn Conlan,Discus,36.82m,"Apr 15, 2022"
Quinn Conlan,Discus,NM,"Apr  9, 2022"
Quinn Conlan,Discus,FOUL,"May 14-16, 2021"
Quinn Conlan,Discus,45.30m,"May  6, 2021"
Quinn Conlan,Discus,43.81m,"Apr 30-May  1, 2021"
Quinn Conlan,Discus,36.94m,"Apr 24, 2021"
Quinn Conlan,Discus,39.62m,"Apr 17, 2021"
Quinn Conlan,Discus,39.36m,"Apr 11, 2021"
Quinn Conlan,Discus,42.28m,"Apr  3, 2021"
Quinn Conlan,Discus,41.06m,"Mar 27, 2021"
Quinn Conlan,Discus,40.94m,"Mar 21, 2021"
Quinn Conlan,Hammer,42.85m,"Apr  7- 8, 2023"
Quinn Conlan,Hammer,FOUL,"Mar 24-25, 2023"
Quinn Conlan,Hammer,42.41m,"Apr 29-30, 2022"
Quinn Conlan,Hammer,41.67m,"Apr 23, 2022"
Quinn Conlan,Hammer,39.09m,"Apr  9, 2022"
Quinn Conlan,Hammer,NM,"Apr 24, 2021"
Quinn Conlan,Hammer,36.91m,"Apr  3, 2021"
Quinn Conlan,Hammer,32.16m,"Mar 27, 2021"
Quinn Conlan,Hammer,36.14m,"Mar 21, 2021"
Quinn Conlan,Weight Throw,15.69m,"Feb 25-26, 2023"
Quinn Conlan,Weight Throw,15.13m,"Feb 19, 2023"
Quinn Conlan,Weight Throw,16.21m,"Feb 11, 2023"
Quinn Conlan,Weight Throw,16.58m,"Jan 28, 2023"
Quinn Conlan,Weight Throw,15.25m,"Jan 21, 2023"
Quinn Conlan,Weight Throw,15.85m,"Jan 14, 2023"
Quinn Conlan,Weight Throw,15.38m,"Dec  2- 3, 2022"
Quinn Conlan,Weight Throw,15.42m,"Feb 26-27, 2022"
Quinn Conlan,Weight Throw,15.71m,"Feb 18, 2022"
Quinn Conlan,Weight Throw,15.15m,"Feb 11-12, 2022"
Quinn Conlan,Weight Throw,15.05m,"Jan 29, 2022"
Quinn Conlan,Weight Throw,15.07m,"Jan 15, 2022"
Quinn Conlan,Weight Throw,NM,"Dec  3- 4, 2021"
Quinn Conlan,Weight Throw,13.54m,"Feb 27, 2021"
Quinn Conlan,Weight Throw,13.01m,"Feb 21, 2021"
Quinn Conlan,Weight Throw,11.58m,"Feb 14-15, 2020"
Quinn Conlan,Weight Throw,12.02m,"Feb  7, 2020"
Quinn Conlan,Weight Throw,11.19m,"Jan 18, 2020"
Quinn Conlan,Weight Throw,11.18m,"Jan 11, 2020"
Quinn Conlan,Weight Throw,10.51m,"Dec  6- 7, 2019"
Quinn Conlan,Javelin,DNS,"Apr  3, 2021"
Quinn Conlan,Javelin,36.20m,"Mar 27, 2021"
Quinn Conlan,Javelin,37.59m,"Mar 21, 2021"
Douglas Cooke,200 Meters,23.36,"Dec  2- 3, 2022"
Douglas Cooke,200 Meters,24.18,"Feb 21, 2021"
Douglas Cooke,400 Meters,50.75,"Feb  3- 4, 2023"
Douglas Cooke,400 Meters,52.58,"Jan 28, 2023"
Douglas Cooke,400 Meters,51.22,"Jan 21, 2023"
Douglas Cooke,400 Meters,51.37,"Dec  2- 3, 2022"
Douglas Cooke,400 Meters,51.45,"Feb 26-27, 2022"
Douglas Cooke,400 Meters,52.23,"Feb 18, 2022"
Douglas Cooke,400 Meters,DNS,"Jan 15, 2022"
Douglas Cooke,400 Meters,53.51,"Feb 27, 2021"
Douglas Cooke,400 Meters,52.41,"Dec  6- 7, 2019"
Douglas Cooke,4 x 100 Relay,44.70,"May  6- 7, 2022"
Douglas Cooke,4 x 100 Relay,43.80,"Apr 28-30, 2022"
Douglas Cooke,4 x 400 Relay,3:24.01,"Jan 21, 2023"
Douglas Cooke,4 x 400 Relay,DNS,"Dec  2- 3, 2022"
Douglas Cooke,4 x 400 Relay,3:25.16,"Feb 26-27, 2022"
Douglas Cooke,4 x 400 Relay,3:25.32,"Feb 18, 2022"
Douglas Cooke,4 x 400 Relay,3:25.68,"Feb  7, 2020"
Douglas Cooke,4 x 400 Relay,3:26.39,"Feb  1, 2020"
Douglas Cooke,4 x 400 Relay,3:27.96,"Jan 25, 2020"
Douglas Cooke,High Jump,1.80m,"Dec  3- 4, 2021"
Douglas Cooke,High Jump,1.85m,"Feb 27, 2021"
Douglas Cooke,High Jump,1.80m,"Feb 21, 2021"
Douglas Cooke,High Jump,1.80m,"Feb 21, 2020"
Douglas Cooke,High Jump,1.80m,"Feb 14-15, 2020"
Douglas Cooke,High Jump,NH,"Feb  7, 2020"
Douglas Cooke,High Jump,1.85m,"Jan 18, 2020"
Douglas Cooke,High Jump,1.85m,"Jan 11, 2020"
Douglas Cooke,High Jump,1.85m,"Dec  6- 7, 2019"
Gideon Coprivnicar,60 Meters,7.45,"Feb 25-26, 2023"
Gideon Coprivnicar,60 Meters,7.60,"Dec  2- 3, 2022"
Gideon Coprivnicar,60 Meters,7.40,"Feb 26-27, 2022"
Gideon Coprivnicar,60 Meters,7.46,"Feb  4- 5, 2022"
Gideon Coprivnicar,60 Meters,7.50,"Dec  3- 4, 2021"
Gideon Coprivnicar,100 Meters,11.66,"Apr 14-16, 2023"
Gideon Coprivnicar,100 Meters,11.58,"May  6- 7, 2022"
Gideon Coprivnicar,100 Meters,11.56,"Apr 14-16, 2022"
Gideon Coprivnicar,200 Meters,24.12,"Feb 11, 2023"
Gideon Coprivnicar,400 Meters,53.38,"Apr 14-16, 2023"
Gideon Coprivnicar,400 Meters,53.14,"Apr  7- 8, 2023"
Gideon Coprivnicar,400 Meters,55.25,"Mar 24-25, 2023"
Gideon Coprivnicar,400 Meters,54.66,"May  6- 7, 2022"
Gideon Coprivnicar,400 Meters,53.28,"Apr 14-16, 2022"
Gideon Coprivnicar,1000 Meters,3:07.39,"Feb 25-26, 2023"
Gideon Coprivnicar,1000 Meters,3:08.58,"Dec  2- 3, 2022"
Gideon Coprivnicar,1000 Meters,3:12.62,"Feb 26-27, 2022"
Gideon Coprivnicar,1000 Meters,3:08.60,"Feb  4- 5, 2022"
Gideon Coprivnicar,1000 Meters,DNS,"Dec  3- 4, 2021"
Gideon Coprivnicar,1500 Meters,5:00.26,"Apr 14-16, 2023"
Gideon Coprivnicar,1500 Meters,5:14.05,"May  6- 7, 2022"
Gideon Coprivnicar,1500 Meters,5:15.43,"Apr 14-16, 2022"
Gideon Coprivnicar,60 Hurdles,8.84,"Feb 11, 2023"
Gideon Coprivnicar,60 Hurdles,8.64,"Feb  3- 4, 2023"
Gideon Coprivnicar,60 Hurdles,8.91,"Jan 28, 2023"
Gideon Coprivnicar,60 Hurdles,FS,"Jan 21, 2023"
Gideon Coprivnicar,60 Hurdles,8.97,"Jan 14, 2023"
Gideon Coprivnicar,60 Hurdles,9.00,"Dec  2- 3, 2022"
Gideon Coprivnicar,60 Hurdles,9.24,"Feb 18, 2022"
Gideon Coprivnicar,60 Hurdles,8.92,"Jan 22, 2022"
Gideon Coprivnicar,60 Hurdles,9.06,"Jan 15, 2022"
Gideon Coprivnicar,60 Hurdles,DNS,"Dec  3- 4, 2021"
Gideon Coprivnicar,110 Hurdles,16.09,"Apr 14-16, 2023"
Gideon Coprivnicar,110 Hurdles,16.19,"Apr  1, 2023"
Gideon Coprivnicar,110 Hurdles,16.21,"Mar 24-25, 2023"
Gideon Coprivnicar,110 Hurdles,15.98,"May  6- 7, 2022"
Gideon Coprivnicar,110 Hurdles,15.89,"Apr 29-30, 2022"
Gideon Coprivnicar,110 Hurdles,15.96,"Apr 23, 2022"
Gideon Coprivnicar,110 Hurdles,16.53,"Apr 14-16, 2022"
Gideon Coprivnicar,110 Hurdles,17.31,"Apr  9, 2022"
Gideon Coprivnicar,110 Hurdles,16.90,"Apr  2, 2022"
Gideon Coprivnicar,110 Hurdles,16.54,"Mar 26, 2022"
Gideon Coprivnicar,4 x 400 Relay,3:38.11,"Jan 14, 2023"
Gideon Coprivnicar,High Jump,1.82m,"Feb 25-26, 2023"
Gideon Coprivnicar,High Jump,1.76m,"Feb 17, 2023"
Gideon Coprivnicar,High Jump,1.80m,"Jan 14, 2023"
Gideon Coprivnicar,High Jump,1.79m,"Dec  2- 3, 2022"
Gideon Coprivnicar,High Jump,1.76m,"Feb 26-27, 2022"
Gideon Coprivnicar,High Jump,1.70m,"Feb  4- 5, 2022"
Gideon Coprivnicar,High Jump,1.70m,"Jan 15, 2022"
Gideon Coprivnicar,High Jump,NH,"Dec  3- 4, 2021"
Gideon Coprivnicar,Pole Vault,NH,"Feb 25-26, 2023"
Gideon Coprivnicar,Pole Vault,4.00m,"Feb 17, 2023"
Gideon Coprivnicar,Pole Vault,4.10m,"Feb  3- 4, 2023"
Gideon Coprivnicar,Pole Vault,3.96m,"Jan 21, 2023"
Gideon Coprivnicar,Pole Vault,3.96m,"Jan 14, 2023"
Gideon Coprivnicar,Pole Vault,4.03m,"Dec  2- 3, 2022"
Gideon Coprivnicar,Pole Vault,NH,"Feb 26-27, 2022"
Gideon Coprivnicar,Pole Vault,3.75m,"Feb 18, 2022"
Gideon Coprivnicar,Pole Vault,3.50m,"Feb 11-12, 2022"
Gideon Coprivnicar,Pole Vault,3.50m,"Feb  4- 5, 2022"
Gideon Coprivnicar,Pole Vault,3.21m,"Jan 22, 2022"
Gideon Coprivnicar,Pole Vault,3.20m,"Jan 15, 2022"
Gideon Coprivnicar,Pole Vault,NH,"Dec  3- 4, 2021"
Gideon Coprivnicar,Long Jump,6.02m,"Feb 25-26, 2023"
Gideon Coprivnicar,Long Jump,6.11m,"Feb 11, 2023"
Gideon Coprivnicar,Long Jump,6.21m,"Jan 28, 2023"
Gideon Coprivnicar,Long Jump,6.15m,"Jan 21, 2023"
Gideon Coprivnicar,Long Jump,6.29m,"Dec  2- 3, 2022"
Gideon Coprivnicar,Long Jump,6.08m,"Feb 26-27, 2022"
